"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE957N07799","HERO FINCORP LIMITED SR 66 8.8871 NCD 06OT26 FVRS1LAC","100.0786","100.0734","7.7250","7.8000","500.00","10"
"INE377Y07664","BAJAJ HOUSING FINANCE LIMITED 7.64 NCD 01JL30 FVRS1LAC","98.6349","98.6349","8.0500","8.0500","225.00","4"
"INE498L08069","L","99.8101","100.4309","8.1966","8.1200","156.00","6"
"INE020B08GI3","REC LIMITED SR 257 TR A 7.28 BD 31AG29 FVRS1LAC","99.3157","99.3157","7.5250","7.5250","150.00","1"
"INE377Y07656","BAJAJ HOUSING FINANCE LIMITED 8.25 NCD 27MY31 FVRS1LAC","100.5420","100.5200","8.0860","8.0900","130.00","3"
"INE118D08078","NUVOCO VISTAS CORPORATION LIMITED 7.7 NCD 18SP28 FVRS1LAC","99.1800","99.1800","8.1500","8.1500","125.00","6"
"INE134E08OF6","POWER FINANCE CORPORATION LIMITED SR 261B 7.6 BD 08SP31 FVRS1LAC","100.0120","100.0000","7.5916","7.5946","125.00","3"
"INE0GCN07054","ADANI AIRPORT HOLDINGS LIMITED 8.45 NCD 12FB29 FVRS1LAC","98.9252","98.9240","9.2393","9.2438","80.20","4"
"INE556F08KX8","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VIII 7.49 BD 11JU29 FVRS1LAC","99.5937","99.5937","7.6300","7.6300","75.00","1"
"INE556F08LH9","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR V 7.7 BD 10OT29 FVRS1LAC","100.1335","100.1335","7.6500","7.6500","75.00","2"
"INE556F08KP4","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR IX 7.68 BD 10AG27 FVRS1LAC","100.2648","100.2648","7.3600","7.3600","75.00","1"
"INE377Y07698","BAJAJ HOUSING FINANCE LIMITED 7.79 NCD 20AG31 FVRS1LAC","98.8967","98.8593","8.0672","8.0698","52.50","3"
"INE233A08139","GODREJ INDUSTRIES LIMITED SR 1 8.42 NCD 27DC27 FVRS1LAC","100.4538","100.4538","7.9800","7.9800","50.00","1"
"INE976I07CY9","TATA CAPITAL LIMITED SR D STRPP II 8.0980 NCD 23SP27 FVRS1LAC","100.5166","100.5166","7.5500","7.5500","50.00","1"
"INE134E08ME3","POWER FINANCE CORPORATION LIMITED SR BS225B STRPP 3 7.82 BD 12MR32 FVRS1LAC","100.4158","100.4158","7.7000","7.7000","50.00","1"
"INE134E08NT9","POWER FINANCE CORPORATION LIMITED SR 251A 6.27 BD 15JL27 FVRS1LAC","99.2898","99.2898","7.1400","7.1400","50.00","1"
"INE733E07KL3","NTPC LIMITED SR 69 7.32 BD 17JL29 FVRS10LAC LOAUPTO10OT19","100.1240","100.1240","7.2500","7.2500","50.00","1"
"INE296A07TJ4","BAJAJ FINANCE LIMITED 7.3763 NCD 26JU28 FVRS1LAC","99.0746","99.0750","7.9200","7.9100","50.00","2"
"INE721A07SK1","SHRIRAM FINANCE LIMITED SR 4 TR 6 8.9043 NCD 04JN30 FVRS1LAC","102.2605","102.2605","8.0650","8.0650","50.00","1"
"INE261F08CM5","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR MIF 1B 6.07 LOA 19NV27 FVRS10LAC","98.5583","98.5583","7.3500","7.3500","50.00","1"
"INE081A08215","TATA STEEL LIMITED 8.15 NCD 01OT26 FVRS10LAC","100.0778","100.0778","6.2500","6.2500","40.00","1"
"INE134E08OE9","POWER FINANCE CORPORATION LIMITED SR 261A 7.61 BD 08SP36 FVRS1LAC","100.0300","100.0300","7.5989","7.5989","40.00","2"
"INE916DA7RP6","KOTAK MAHINDRA PRIME LIMITED 7.79 NCD 19JL27 FVRS10LAC","100.1630","100.1630","7.5000","7.5000","35.00","2"
"INE831R08118","ADITYA BIRLA HOUSING FINANCE LIMITED SR E1 8.23 NCD 18AG36 FVRS1LAC","100.1012","100.1012","8.2050","8.2050","35.00","2"
"INE556F08KQ2","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR I 7.68 BD 10SP27 FVRS1LAC","100.2938","100.2938","7.3600","7.3600","30.00","2"
"INE511C07953","POONAWALLA FINCORP LIMITED SR G2 7.9 NCD 31OT30 FVRS1LAC","98.5884","98.5886","8.2998","8.3000","30.00","5"
"INE556F08KN9","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VII 7.75 BD 10JU27 FVRS1LAC","100.3208","100.3290","7.2917","7.2800","30.00","2"
"INE0TLC07093","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP B 9.30 BD 09MY28 FVRS1LAC","101.1900","101.1900","8.5591","8.5591","29.50","2"
"INE752E07KL3","POWER GRID CORPORATION OF INDIA LIMITED 8.85 BD 19OT26 FVRS12.5LAC LOA UPTO 14JN13","100.2669","100.2669","5.8102","5.8102","25.00","1"
"INE134E08IR3","POWER FINANCE CORPORATION LIMITED SR-158 7.18 BD 20JN27 FVRS10LAC","100.1402","100.1402","6.7100","6.7100","25.00","1"
"INE0KUG08100","NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT SR NABFID2026-4 TR I 6.86 BD 13NV30 FVRS1LAC","97.0921","97.0921","7.6850","7.6850","25.00","2"
"INE053F08460","INDIAN RAILWAY FINANCE CORPORATION LIMITED SR 186 7.25 BD 17JN35 FVRS1LAC","97.4510","97.4510","7.6700","7.6700","25.00","1"
"INE410P08024","NARAYANA HRUDAYALAYA LIMITED 8.40 NCD 15FB30 FVRS1LAC","100.2381","100.2381","8.2500","8.2500","25.00","1"
"INE261F08EQ2","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 26B  6.85 BD 19JN29 FVRS1LAC","98.3599","98.3599","7.6000","7.6000","25.00","1"
"INE523L07AQ3","NUVAMA WEALTH AND INVESTMENT LIMITED SR Q8V501A 9. 0704 NCD 23MY28 FVRS1LAC","99.9924","99.9924","9.0941","9.0941","25.00","1"
"INE033L07IT0","TATA CAPITAL HOUSING FINANCE LIMITED SR B 8.15 NCD 11JU31 FVRS1LAC","100.3414","100.3414","8.0400","8.0400","25.00","1"
"INE403D08272","BHARTI TELECOM LIMITED SR XXV 7.35 NCD 15OT27 FVRS1LAC","99.5200","99.5200","7.8000","7.8000","25.00","1"
"INE607M08121","TATA POWER RENEWABLE ENERGY LIMITED 7.55 NCD 25AP40 FVRS1LAC","99.5000","99.5000","7.7373","7.5961","22.30","2"
"INE103A08050","MANGALORE REFINERY AND PETROCHEMICALS LIMITED SR 4 ETF 7.48 LOA 14AP32 FVRS10LAC","98.4000","98.4000","7.8352","7.8352","20.00","1"
"INE916DA7TO5","KOTAK MAHINDRA PRIME LIMITED 8.147 NCD 21OT31 FVRS1LAC","99.9996","99.9982","8.1340","8.1500","20.00","2"
"INE020B08BP9","REC LIMITED SERIES 175 8.97 BD 28MR29 FVRS10LAC","102.1083","102.1100","7.9748","7.9740","20.00","2"
"INE134E08JX9","POWER FINANCE CORPORATION LIMITED SERIES 184 B 9.10 BD 23MR29 FVRS10LAC","102.5521","102.5521","7.9000","7.9000","19.80","1"
"INE244L08034","SAMMAAN FINSERVE LIMITED 8.45 NCD 05JN28 FVRS1LAC","98.7908","98.8016","9.3962","9.3871","16.40","2"
"INE976I07DG4","TATA CAPITAL LIMITED SR D 7.88 NCD 07JL31 FVRS1LAC","99.4581","99.4709","8.0004","8.0000","12.00","2"
"INE774D08MX8","MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED SR BBB2024 8.24 NCD 06OT34 FVRS1LAC","99.7800","99.8000","8.2689","8.2657","10.00","2"
"INE721A07SI5","SHRIRAM FINANCE LIMITED SR SFL 2 PPD TR 2 8.9267 NCD 20JL27 FVRS1LAC","100.9858","100.9858","7.6000","7.6000","10.00","1"
"INE053F08411","INDIAN RAILWAY FINANCE CORPORATION LIMITED SR 181 7.37 BD 31JL29 FVRS1LAC","99.8614","99.8614","7.4100","7.4100","10.00","1"
"INE377Y07300","BAJAJ HOUSING FINANCE LIMITED 7.7 NCD 21MY27 FVRS10LAC","100.0832","100.0832","7.4000","7.4000","10.00","1"
"INE020B08FJ3","REC LIMITED SR 239 BD 03NV34 FVRS1LAC","58.5686","58.5686","6.7813","6.7813","10.00","1"
"INE950O07487","MAHINDRA RURAL HOUSING FINANCE LIMITED SR MRHFLBB2024 8.25 NCD 03AG29 FVRS1LAC","100.0000","100.0000","8.2300","8.2300","8.00","1"
"INE950O08295","MAHINDRA RURAL HOUSING FINANCE LIMITED SR MRHFL-DDD2024 8.35 NCD 22DC34 FVRS1LAC","99.9500","99.9500","8.3400","8.3400","7.00","1"
"INE476A08217","CANARA BANK SR I 8.40 PP BD FVRS1CR","100.6147","100.6147","8.1000","8.0500","7.00","1"
"INE01WN07136","MOTILAL OSWAL FINVEST LIMITED SR MOFL TR 2 8.75 NCD 29OT27 FVRS1LAC","100.3230","100.3230","8.4000","8.4000","5.89","1"
"INE918K07PR3","NUVAMA WEALTH FINANCE LIMITED SR NWFL200824/02 9.62 NCD 16JU27 FVRS1LAC","100.8089","100.8089","8.6500","8.6500","5.75","1"
"INE0M2307404","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV H 9.15 BD 30NV33 FVRS1LAC","102.4500","102.4500","8.9500","8.9500","5.42","2"
"INE202B07JS2","PIRAMAL FINANCE LIMITED 9.10 NCD 16AP27 FVRS1LAC","100.4105","100.4105","8.2000","8.2000","5.00","1"
"INE752E07LR8","POWER GRID CORPORATION OF INDIA LIMITED 9.3 BD 04SP29 FVRS10LAC LOA UPTO 17DC14","105.0308","105.0308","7.3500","7.3500","5.00","1"
"INE03K307215","SATIN FINSERV LIMITED 10.8 NCD 27NV28 FVRS1LAC","98.2992","98.2992","12.1757","12.2200","5.00","1"
"INE053F07CQ9","INDIAN RAILWAY FINANCE CORPORATION LIMITED SERIES 151 6.73 LOA 06JL35 FVRS10LAC","94.1831","94.1831","7.6500","7.6500","5.00","1"
"INE674K07143","ADITYA BIRLA CAPITAL LIMITED SR C1 8.26 NCD 16JU31 FVRS1LAC","100.4192","100.4192","8.1300","8.1300","5.00","1"
"INE296A07TX5","BAJAJ FINANCE LIMITED 8% NCD 12MY31 FVRS1LAC","99.7232","99.7232","8.0500","8.0500","5.00","1"
"INE121A08PR3","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR SD73 8.92 NCD 02DC34 FVRS1LAC","100.0700","100.0700","8.8900","8.8900","5.00","2"
"INE115A07QA1","LIC HOUSING FINANCE LTD 7.82 LOA 18NV32 FVRS10LAC","100.3523","100.3523","7.7300","7.7300","5.00","1"
"INE07HK07817","KRAZYBEE SERVICES LIMITED 10.40 NCD 25JN27 FVRS1LAC","100.1725","100.2031","10.0326","10.0000","4.90","3"
"INE180C07189","CAPRI GLOBAL CAPITAL LIMITED SR I 8.55 NCD 13AP27 FVRS1000","100.3000","100.3000","8.3693","8.3653","4.00","1"
"INE0JZO07057","LUCINA LAND DEVELOPMENT LIMITED SR II TR III 12.95 NCD 30JN29 FVRS1LAC","100.0000","100.0000","13.7287","13.7324","4.00","1"
"INE0TLC07077","THE ANDHRA PRADESH MINERAL DEVELOPMENT CORPORATION LIMITED SR I STRPP D 9.3 BD 07MY30 FVRS1LAC","103.4700","103.4700","8.3309","8.3300","4.00","1"
